sample_idx,true_l3,true_w4,rank,l3,w4,curve_mae_dB,freq_err_MHz,depth_err_dB
7,9.0,4.0,6,10.597390174865723,3.363051652908325,1.1982314586639404,0.0,3.1742687225341797
7,9.0,4.0,7,12.420328140258789,3.639885902404785,1.3918808698654175,897.4360000000004,7.537141799926758
7,9.0,4.0,8,11.433938026428223,3.312852382659912,1.4587852954864502,4128.204999999999,5.553764343261719
7,9.0,4.0,9,9.863131523132324,3.2295644283294678,1.5216317176818848,0.0,0.029596328735351562
7,9.0,4.0,10,13.113875389099121,3.512557029724121,1.5752044916152954,897.4360000000004,5.492076873779297
8,10.0,0.5,1,10.589725494384766,0.558057427406311,0.9485063552856445,0.0,5.939960479736328
8,10.0,0.5,2,9.596405029296875,0.6427130103111267,1.526578664779663,0.0,2.8507461547851562
8,10.0,0.5,3,11.247475624084473,0.8160141706466675,1.8623554706573486,1615.3850000000007,7.989986419677734
8,10.0,0.5,4,9.956753730773926,0.8258596658706665,2.1266236305236816,0.0,6.777606964111328
8,10.0,0.5,5,11.996320724487305,0.6100021600723267,2.1804099082946777,1615.3850000000007,9.272151947021484
8,10.0,0.5,6,13.198051452636719,1.152995228767395,3.253436326980591,1615.3850000000007,7.818805694580078
8,10.0,0.5,7,12.6485595703125,1.2977731227874756,3.4025001525878906,1615.3850000000007,5.453559875488281
8,10.0,0.5,8,12.96141529083252,1.3812379837036133,3.485823154449463,1615.3850000000007,7.91810417175293
8,10.0,0.5,9,13.808919906616211,1.3007935285568237,3.532939910888672,538.4620000000009,8.65670394897461
8,10.0,0.5,10,13.373682022094727,0.6801756024360657,3.6468474864959717,1974.3590000000006,7.233634948730469
9,10.0,1.0,1,9.926952362060547,0.9813233017921448,0.6481302380561829,1615.3850000000002,1.2798805236816406
9,10.0,1.0,2,9.52041244506836,0.9195287823677063,1.0160810947418213,1615.3850000000002,6.346549987792969
9,10.0,1.0,3,10.364192962646484,1.2773773670196533,1.4095852375030518,2512.8210000000004,3.2056427001953125
9,10.0,1.0,4,11.247475624084473,0.8160141706466675,1.7311255931854248,2512.8210000000004,1.7789726257324219
9,10.0,1.0,5,11.487858772277832,1.402795672416687,1.8505103588104248,2512.8210000000004,4.281337738037109
9,10.0,1.0,6,9.361818313598633,1.3317314386367798,1.8548262119293213,1615.3850000000002,3.4881973266601562
9,10.0,1.0,7,11.93089485168457,0.885181725025177,1.9247239828109741,2512.8210000000004,0.6967544555664062
9,10.0,1.0,8,11.070240020751953,1.4969416856765747,2.0118446350097656,2512.8210000000004,4.953611373901367
9,10.0,1.0,9,12.6485595703125,1.2977731227874756,2.1157031059265137,2512.8210000000004,0.7574539184570312
9,10.0,1.0,10,10.12739372253418,1.6227302551269531,2.2031166553497314,2512.8210000000004,5.154472351074219
10,10.0,1.5,1,9.16467571258545,1.5141301155090332,1.3168442249298096,0.0,3.8957290649414062
10,10.0,1.5,2,10.364192962646484,1.2773773670196533,1.6041593551635742,0.0,4.839962005615234
10,10.0,1.5,3,10.12739372253418,1.6227302551269531,1.626729965209961,0.0,6.788791656494141
10,10.0,1.5,4,9.592357635498047,1.8535736799240112,1.6413952112197876,0.0,2.6801490783691406
10,10.0,1.5,5,11.070240020751953,1.4969416856765747,1.7045589685440063,0.0,6.587930679321289
10,10.0,1.5,6,11.487858772277832,1.402795672416687,1.7273365259170532,0.0,5.915657043457031
10,10.0,1.5,7,12.109417915344238,1.787240982055664,1.755368947982788,0.0,0.10712814331054688
10,10.0,1.5,8,9.926952362060547,0.9813233017921448,1.8435548543930054,897.4359999999999,2.9141998291015625
10,10.0,1.5,9,12.777719497680664,1.3464829921722412,1.8722442388534546,0.0,1.353555679321289
10,10.0,1.5,10,12.95036506652832,1.722233533859253,1.9212583303451538,1974.3589999999997,3.171070098876953
11,10.0,2.0,1,9.464669227600098,1.9363402128219604,1.0891313552856445,3230.7690000000002,0.0056095123291015625
11,10.0,2.0,2,12.109417915344238,1.787240982055664,1.3518551588058472,3230.7690000000002,0.7044582366943359
11,10.0,2.0,3,13.160544395446777,2.2593765258789062,1.546718716621399,0.0,1.1498222351074219
11,10.0,2.0,4,11.436910629272461,2.315767288208008,1.5826982259750366,0.0,0.31369590759277344
11,10.0,2.0,5,13.789267539978027,2.2799973487854004,1.605594277381897,0.0,1.8603496551513672
11,10.0,2.0,6,11.854026794433594,2.375211477279663,1.635109543800354,0.0,0.25180625915527344
11,10.0,2.0,7,12.95036506652832,1.722233533859253,1.6559741497039795,5205.128000000001,3.768400192260742
11,10.0,2.0,8,10.12739372253418,1.6227302551269531,1.6997489929199219,3230.7690000000002,6.191461563110352
11,10.0,2.0,9,11.493688583374023,2.6334750652313232,1.7067779302597046,5025.6410000000005,0.6203327178955078
11,10.0,2.0,10,11.337157249450684,1.6130121946334839,1.7699058055877686,3230.7690000000002,4.962127685546875
12,10.0,2.5,1,11.170792579650879,2.7130703926086426,0.7427751421928406,897.4359999999999,4.873430252075195
12,10.0,2.5,2,10.454599380493164,2.7169132232666016,0.8086450695991516,897.4359999999999,3.466287612915039
12,10.0,2.5,3,9.371603012084961,2.2876155376434326,0.820569634437561,897.4359999999999,3.4644222259521484
12,10.0,2.5,4,11.493688583374023,2.6334750652313232,0.8759803771972656,897.4359999999999,5.159753799438477
12,10.0,2.5,5,9.044177055358887,2.292325735092163,1.144647240638733,897.4359999999999,2.794645309448242
12,10.0,2.5,6,11.436910629272461,2.315767288208008,1.1822383403778076,4128.205,4.225725173950195
12,10.0,2.5,7,11.854026794433594,2.375211477279663,1.1991697549819946,4128.205,4.287614822387695
12,10.0,2.5,8,9.464669227600098,1.9363402128219604,1.4347896575927734,897.4359999999999,4.533811569213867
12,10.0,2.5,9,9.707940101623535,2.8524744510650635,1.4996228218078613,897.4359999999999,4.362695693969727
12,10.0,2.5,10,13.160544395446777,2.2593765258789062,1.6742331981658936,4128.205,3.389598846435547
13,10.0,3.0,1,9.781376838684082,2.960566282272339,0.876010537147522,0.0,3.96844482421875
13,10.0,3.0,2,10.567862510681152,3.1656687259674072,0.9232660531997681,0.0,7.935314178466797
13,10.0,3.0,3,10.454599380493164,2.7169132232666016,1.2170307636260986,0.0,1.4815406799316406
13,10.0,3.0,4,11.602643013000488,3.048757314682007,1.2854909896850586,5025.6410000000005,8.678102493286133
13,10.0,3.0,5,11.433938026428223,3.312852382659912,1.37210214138031,0.0,11.754411697387695
13,10.0,3.0,6,11.170792579650879,2.7130703926086426,1.4150760173797607,0.0,2.888683319091797
13,10.0,3.0,7,10.467236518859863,3.550112009048462,1.6452745199203491,4128.204999999999,8.578226089477539
13,10.0,3.0,8,9.508466720581055,3.570687770843506,1.669594168663025,4128.204999999999,3.7474632263183594
13,10.0,3.0,9,11.493688583374023,2.6334750652313232,1.694504976272583,0.0,3.175006866455078
13,10.0,3.0,10,9.371603012084961,2.2876155376434326,1.7883579730987549,0.0,1.47967529296875
14,10.0,3.5,1,10.115950584411621,3.636319637298584,0.3679161071777344,0.0,0.24948883056640625
14,10.0,3.5,2,10.467236518859863,3.550112009048462,0.42317432165145874,0.0,1.8749141693115234
14,10.0,3.5,3,9.508466720581055,3.570687770843506,0.7267614006996155,0.0,2.9558486938476562
14,10.0,3.5,4,10.698713302612305,3.3284213542938232,0.7738111019134521,0.0,3.1853256225585938
14,10.0,3.5,5,11.433938026428223,3.312852382659912,0.8262866139411926,4128.204999999999,5.05109977722168
14,10.0,3.5,6,11.647184371948242,3.7364275455474854,0.8923155069351196,0.0,6.104562759399414
14,10.0,3.5,7,9.203352928161621,3.604802370071411,0.9590066075325012,0.0,4.6676483154296875
14,10.0,3.5,8,12.420328140258789,3.639885902404785,1.0847409963607788,897.4360000000004,7.034477233886719
14,10.0,3.5,9,9.863131523132324,3.2295644283294678,1.1392123699188232,0.0,0.4730682373046875
14,10.0,3.5,10,13.113875389099121,3.512557029724121,1.268593430519104,897.4360000000004,4.989412307739258
15,10.0,4.0,1,9.976305961608887,3.868565559387207,0.41487303376197815,0.0,1.4418697357177734
15,10.0,4.0,2,10.248148918151855,3.676482677459717,0.5583486557006836,0.0,0.3682270050048828
15,10.0,4.0,3,9.508466720581055,3.570687770843506,0.8776670694351196,0.0,4.22076416015625
15,10.0,4.0,4,9.203352928161621,3.604802370071411,0.9277776479721069,0.0,5.932563781738281
15,10.0,4.0,5,11.647184371948242,3.7364275455474854,1.0263649225234985,0.0,4.83964729309082
15,10.0,4.0,6,10.597390174865723,3.363051652908325,1.2027894258499146,0.0,1.4066886901855469
15,10.0,4.0,7,12.420328140258789,3.639885902404785,1.2569507360458374,897.4360000000004,5.769561767578125
15,10.0,4.0,8,11.433938026428223,3.312852382659912,1.3711639642715454,4128.204999999999,3.786184310913086
15,10.0,4.0,9,13.113875389099121,3.512557029724121,1.4534679651260376,897.4360000000004,3.724496841430664
15,10.0,4.0,10,13.78320026397705,3.9497766494750977,1.524904489517212,1435.8970000000002,5.857732772827148
